,loc_name,lat,long,if_near
314,شهید بروجردی تهران,35.6388367,51.4674445,0
315,شهرک دریا تهران,35.6846653,51.2398239,0
316,شهرک دانشگاهی,30.2409113,57.0646164,0
317,بهمن یار,35.8245771,51.0169938,0
318,شیرازی تهران,35.6760562,51.4046846,0
319,جابری تهران,35.6844602,51.4536852,1
320,قزل قلعه تهران,35.727090149999995,51.39598164478494,0
321,صفائیه تهران,35.6068011,51.4461975,0
322,باغ آذری تهران,35.652293,51.4223924,0
323,فرحزاد تهران,35.7859783,51.3460372,0
324,شهرک امید تهران,35.6555601,50.9023148,0
325,آرارات تهران,35.7740052,51.3986464,0
326,شهرک پاسداران تهران,35.695091,51.2626946,0
327,زینبیه تهران,35.7094899,51.5105416,0
328,سیروس تهران,35.6990545,51.4406841,0
329,شهرک گلها تهران,35.804269,51.4980481,0
330,اسفندیاری تهران,35.6767098,51.434555,1
331,شهرک امام خمینی تهران,35.6648158,51.3150962,0
332,ملک آباد تهران,35.6201865,51.4295339,0
333,فتح تهران,35.8013431,51.5074789,1
334,فرودگاه مهرآباد تهران,35.6900662,51.3022286072496,0
335,شهرک والفجر  تهران,35.6467177,50.9995152,0
336,پامنار تهران,35.6812524,51.4246485,0
337,قصر فیروزه ۲ تهران,35.651683,51.5032029,0
338,شهرک آسمان تهران,35.6810911,51.2666164,0
